Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:01:00.27,2023-04-26 17:01:00.0,270,1,15+1+0.0
2023-04-26 17:01:00.64,2023-04-26 17:01:00.4,240,1,15+1+0.4
2023-04-26 17:01:00.839,2023-04-26 17:01:00.6,239,1,15+1+0.6
2023-04-26 17:01:01.079,2023-04-26 17:01:00.8,279,1,15+1+0.8
2023-04-26 17:01:01.312,2023-04-26 17:01:01.0,312,1,15+1+1.0
2023-04-26 17:01:01.344,2023-04-26 17:01:01.0,344,1,15+1+1.0
2023-04-26 17:01:01.646,2023-04-26 17:01:01.4,246,1,15+1+1.4
2023-04-26 17:01:01.889,2023-04-26 17:01:01.6,289,1,15+1+1.6
2023-04-26 17:01:02.054,2023-04-26 17:01:01.8,254,1,15+1+1.8
2023-04-26 17:01:02.375,2023-04-26 17:01:02.0,375,1,15+1+2.0
2023-04-26 17:01:02.453,2023-04-26 17:01:02.0,453,1,15+1+2.0
2023-04-26 17:01:02.482,2023-04-26 17:01:02.2,282,1,15+1+2.2
2023-04-26 17:01:02.645,2023-04-26 17:01:02.4,245,1,15+1+2.4
2023-04-26 17:01:02.891,2023-04-26 17:01:02.6,291,1,15+1+2.6
2023-04-26 17:01:03.086,2023-04-26 17:01:02.8,286,1,15+1+2.8
2023-04-26 17:01:03.416,2023-04-26 17:01:03.0,416,1,15+1+3.0
2023-04-26 17:01:03.416,2023-04-26 17:01:03.0,416,1,15+1+3.0
2023-04-26 17:01:03.416,2023-04-26 17:01:03.0,416,1,15+1+3.0
2023-04-26 17:01:03.489,2023-04-26 17:01:03.2,289,1,15+1+3.2
2023-04-26 17:01:03.723,2023-04-26 17:01:03.4,323,1,15+1+3.4
2023-04-26 17:01:03.895,2023-04-26 17:01:03.6,295,1,15+1+3.6
2023-04-26 17:01:04.085,2023-04-26 17:01:03.8,285,1,15+1+3.8
2023-04-26 17:01:04.29,2023-04-26 17:01:04.0,290,1,15+1+4.0
2023-04-26 17:01:04.29,2023-04-26 17:01:04.0,290,1,15+1+4.0
2023-04-26 17:01:04.318,2023-04-26 17:01:04.0,318,1,15+1+4.0
