Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
STON,2023-04-27 09:17:44.074,46.065726805666664,11.0969748775,-1.339961,278.208389,0.056684,1
SMAR,2023-04-27 09:17:44.104,46.0656987,11.0969919,312.97,349.87,0.96,null
SMAR,2023-04-27 09:17:44.145,46.0656987,11.0969919,313.01,349.68,1.07,null
SMAR,2023-04-27 09:17:44.185,46.0656987,11.0969919,313.11,349.57,1.11,null
SMAR,2023-04-27 09:17:44.206,46.0656987,11.0969919,313.22,349.48,1.15,null
SMAR,2023-04-27 09:17:44.237,46.0656978,11.096993,313.28,349.42,1.1,null
SMAR,2023-04-27 09:17:44.273,46.0656978,11.096993,313.37,349.38,1.04,null
SMAR,2023-04-27 09:17:44.305,46.0656978,11.096993,313.37,349.36,0.96,null
SMAR,2023-04-27 09:17:44.339,46.0656978,11.096993,313.39,349.36,0.87,null
STON,2023-04-27 09:17:44.339,46.065726805666664,11.0969748775,-1.33973,278.183273,0.05746,1
STON,2023-04-27 09:17:44.339,46.06572679483333,11.0969748865,-1.33973,278.183273,0.05746,1
STON,2023-04-27 09:17:44.339,46.06572679483333,11.0969748865,-1.33973,278.183273,0.05746,1
SMAR,2023-04-27 09:17:44.373,46.0656978,11.096993,313.45,349.32,0.81,null
SMAR,2023-04-27 09:17:44.404,46.0656978,11.096993,313.49,349.24,0.83,null
SMAR,2023-04-27 09:17:44.447,46.0656978,11.096993,313.47,349.2,0.84,null
SMAR,2023-04-27 09:17:44.474,46.0656978,11.096993,313.47,349.18,0.81,null
STON,2023-04-27 09:17:44.474,46.06572679483333,11.0969748865,-1.338542,278.189217,0.05655,1
SMAR,2023-04-27 09:17:44.506,46.0656978,11.096993,313.52,349.15,0.77,null
SMAR,2023-04-27 09:17:44.542,46.0656978,11.096993,313.53,349.09,0.76,null
SMAR,2023-04-27 09:17:44.571,46.0656978,11.096993,313.47,349.06,0.73,null
SMAR,2023-04-27 09:17:44.602,46.0656978,11.096993,313.33,349.15,0.63,null
SMAR,2023-04-27 09:17:44.634,46.0656978,11.096993,313.27,349.25,0.52,null
SMAR,2023-04-27 09:17:44.673,46.0656978,11.096993,313.25,349.21,0.53,null
STON,2023-04-27 09:17:44.673,46.06572679483333,11.0969748865,-1.338958,278.167877,0.052292,1
SMAR,2023-04-27 09:17:44.706,46.0656978,11.096993,313.18,349.13,0.54,null
SMAR,2023-04-27 09:17:44.743,46.0656978,11.096993,313.06,349.22,0.42,null
SMAR,2023-04-27 09:17:44.776,46.0656978,11.096993,312.92,349.31,0.44,null
SMAR,2023-04-27 09:17:44.812,46.0656978,11.096993,312.91,349.15,0.66,null
SMAR,2023-04-27 09:17:44.842,46.0656978,11.096993,312.88,348.95,0.88,null
SMAR,2023-04-27 09:17:44.878,46.0656978,11.096993,312.77,348.86,1.01,null
SMAR,2023-04-27 09:17:44.907,46.0656978,11.096993,312.6,348.9,1.05,null
SMAR,2023-04-27 09:17:44.945,46.0656978,11.096993,312.47,348.9,1.1,null
SMAR,2023-04-27 09:17:44.972,46.0656976,11.0969938,312.31,348.92,1.1,null
STON,2023-04-27 09:17:44.972,46.06572679483333,11.0969748865,-1.341777,278.172142,0.052829,1
SMAR,2023-04-27 09:17:45.001,46.0656976,11.0969938,312.16,348.98,1.07,null
SMAR,2023-04-27 09:17:45.036,46.0656976,11.0969938,311.93,349.01,1.07,null
SMAR,2023-04-27 09:17:45.068,46.0656976,11.0969938,311.55,349.19,0.92,null
STON,2023-04-27 09:17:45.068,46.06572679483333,11.0969748865,-1.340422,278.183167,0.052864,1
SMAR,2023-04-27 09:17:45.105,46.0656976,11.0969938,311.11,349.31,0.8,null
SMAR,2023-04-27 09:17:45.141,46.0656976,11.0969938,310.89,349.3,0.82,null
SMAR,2023-04-27 09:17:45.179,46.0656976,11.0969938,310.73,349.44,0.87,null
SMAR,2023-04-27 09:17:45.216,46.0656976,11.0969938,310.49,349.75,0.79,null
SMAR,2023-04-27 09:17:45.248,46.0656976,11.0969938,310.22,350.0,0.75,null
SMAR,2023-04-27 09:17:45.283,46.0656968,11.0969959,310.1,350.12,0.87,null
STON,2023-04-27 09:17:45.283,46.06572679483333,11.0969748865,-1.342447,278.176109,0.052672,1
SMAR,2023-04-27 09:17:45.312,46.0656968,11.0969959,309.98,350.27,0.97,null
SMAR,2023-04-27 09:17:45.345,46.0656968,11.0969959,309.86,350.46,1.05,null
SMAR,2023-04-27 09:17:45.376,46.0656968,11.0969959,309.91,350.6,1.19,null
STON,2023-04-27 09:17:45.376,46.06572679666667,11.096974899833333,-1.342447,278.176109,0.052672,1
STON,2023-04-27 09:17:45.376,46.06572679666667,11.096974899833333,-1.342447,278.176109,0.052672,1
SMAR,2023-04-27 09:17:45.415,46.0656968,11.0969959,310.05,350.71,1.34,null
