Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
STON,2023-04-04 12:36:17:900 GMT+02:00 2023,46.08980147,11.115510728333334,2.922845,112.976692,-0.791387,1
SMAR,2023-04-04 12:36:17:926 GMT+02:00 2023,46.0898301,11.11574,260.86,95.58,84.36,null
SMAR,2023-04-04 12:36:17:958 GMT+02:00 2023,46.0898301,11.11574,258.57,97.88,85.04,null
SMAR,2023-04-04 12:36:17:992 GMT+02:00 2023,46.0898301,11.11574,256.78,99.61,85.56,null
SMAR,2023-04-04 12:36:18:032 GMT+02:00 2023,46.0898301,11.11574,255.24,101.11,86.0,null
SMAR,2023-04-04 12:36:18:068 GMT+02:00 2023,46.0898301,11.11574,0.0,353.02,90.0,null
SMAR,2023-04-04 12:36:18:094 GMT+02:00 2023,46.0898301,11.11574,0.0,353.2,90.0,null
STON,2023-04-04 12:36:18:104 GMT+02:00 2023,46.08980147,11.115510728333334,3.011288,112.678917,-0.71872,1
SMAR,2023-04-04 12:36:18:126 GMT+02:00 2023,46.0898301,11.11574,253.12,103.77,86.09,null
SMAR,2023-04-04 12:36:18:161 GMT+02:00 2023,46.0898265,11.1157382,251.14,105.91,86.35,null
SMAR,2023-04-04 12:36:18:193 GMT+02:00 2023,46.0898265,11.1157382,0.0,354.58,90.0,null
SMAR,2023-04-04 12:36:18:227 GMT+02:00 2023,46.0898265,11.1157382,0.0,355.11,90.0,null
SMAR,2023-04-04 12:36:18:258 GMT+02:00 2023,46.0898265,11.1157382,0.0,355.03,90.0,null
SMAR,2023-04-04 12:36:18:297 GMT+02:00 2023,46.0898265,11.1157382,0.0,355.29,90.0,null
SMAR,2023-04-04 12:36:18:333 GMT+02:00 2023,46.0898265,11.1157382,0.0,356.03,90.0,null
STON,2023-04-04 12:36:18:340 GMT+02:00 2023,46.08980147,11.115510728333334,3.149248,111.820786,-0.751949,1
SMAR,2023-04-04 12:36:18:364 GMT+02:00 2023,46.0898265,11.1157382,0.0,356.54,90.0,null
SMAR,2023-04-04 12:36:18:390 GMT+02:00 2023,46.0898265,11.1157382,0.0,356.58,90.0,null
SMAR,2023-04-04 12:36:18:428 GMT+02:00 2023,46.0898265,11.1157382,0.0,357.03,90.0,null
SMAR,2023-04-04 12:36:18:459 GMT+02:00 2023,46.0898265,11.1157382,0.0,357.47,90.0,null
SMAR,2023-04-04 12:36:18:501 GMT+02:00 2023,46.0898265,11.1157382,0.0,357.73,90.0,null
SMAR,2023-04-04 12:36:18:528 GMT+02:00 2023,46.0898265,11.1157382,255.9,105.35,85.92,null
STON,2023-04-04 12:36:18:533 GMT+02:00 2023,46.08980147,11.115510728333334,3.22066,111.731934,-0.780214,1
SMAR,2023-04-04 12:36:18:557 GMT+02:00 2023,46.0898265,11.1157382,257.86,103.79,84.92,null
SMAR,2023-04-04 12:36:18:588 GMT+02:00 2023,46.0898265,11.1157382,256.69,105.37,85.08,null
SMAR,2023-04-04 12:36:18:622 GMT+02:00 2023,46.0898265,11.1157382,254.63,107.79,85.34,null
SMAR,2023-04-04 12:36:18:651 GMT+02:00 2023,46.0898265,11.1157382,252.81,109.9,85.59,null
SMAR,2023-04-04 12:36:18:689 GMT+02:00 2023,46.0898265,11.1157382,251.8,111.03,85.6,null
STON,2023-04-04 12:36:18:698 GMT+02:00 2023,46.08980147,11.115510728333334,3.169362,111.611427,-0.87186,1
SMAR,2023-04-04 12:36:18:719 GMT+02:00 2023,46.0898265,11.1157382,251.41,111.44,85.62,null
STON,2023-04-04 12:36:18:730 GMT+02:00 2023,46.089801568333336,11.115510536666667,3.169362,111.611427,-0.87186,1
STON,2023-04-04 12:36:18:735 GMT+02:00 2023,46.089801568333336,11.115510536666667,3.169362,111.611427,-0.87186,1
SMAR,2023-04-04 12:36:18:752 GMT+02:00 2023,46.0898265,11.1157382,252.07,110.82,85.57,null
SMAR,2023-04-04 12:36:18:788 GMT+02:00 2023,46.0898265,11.1157382,251.9,111.11,85.6,null
